pwm,tf,nvar,cons_aff,best_aff,dT,dN,dS,d_rep,same,rho,bucket
SOX9_6	SOX9_jolma_full_M793,SOX9,6,1.0,0.2934393620915634,1.8822434202808342,-0.2869639095441521,2.169207329824986,0,False,-0.028571428571428574,tumor-gain
SOX9_7	SOX9_jolma_full_M794,SOX9,5,0.2675789338069516,0.1450438036229333,0.31888409929122,-0.5518479058482104,0.8707320051394305,0,False,-0.3,normal-suppression
SOX9_8	SOX9_jolma_full_M795,SOX9,5,0.38152872301669993,0.38152872301669993,0.0,0.0,0.0,0,True,0.09999999999999999,neutral
SOX9_9	SOX9_jolma_full_M796,SOX9,6,1.0,0.5170396256201019,0.8250141652690455,-0.244695647449796,1.0697098127188416,0,False,-0.08571428571428573,tumor-gain
SOX9_Hsapiens-HOCOMOCOv10-SOX9_HUMAN.H10MO.B,SOX9,8,0.9168882978723404,0.4015957446808511,0.27172622600138013,-0.21516580967063043,0.48689203567201056,0,False,0.2380952380952381,neutral
SOX9_Hsapiens-JASPAR_2014-SOX9-MA0077.1,SOX9,8,1.0,0.21210211156634132,0.09157053195326528,-1.3284490789518162,1.4200196109050816,0,False,-0.3571428571428572,normal-suppression
SOX9_Hsapiens-JASPAR_CORE-SOX9-MA0077.1,SOX9,4,0.1308528737332642,0.13003167283782904,-0.3408548856894356,-1.2596345800603783,0.9187796943709428,0,False,0.39999999999999997,normal-suppression
SOX9_Hsapiens-SwissRegulon-SOX9.SwissRegulon,SOX9,2,0.024843865663155943,0.010475416284291985,-0.9172128948759019,-0.965852953838357,0.04864005896245516,0,False,,neutral
SOX9_Hsapiens-jaspar2016-SOX9-MA0077.1,SOX9,6,0.16783785782972113,0.13995771602217516,-0.4827705496446806,-0.5726199288606966,0.08984937921601599,0,False,0.3714285714285715,neutral
SOX9_Hsapiens-jaspar2018-SOX9-MA0077.1,SOX9,7,0.1308528737332642,0.10137771231825449,0.0637391997408898,-1.3292214360060597,1.3929606357469495,0,False,0.23424374030084538,normal-suppression
SOX9_Hsapiens-jolma2013-SOX9,SOX9,4,0.18821226102897565,0.18821226102897565,0.0,0.0,0.0,0,True,0.7999999999999999,neutral
SOX9_Hsapiens-jolma2013-SOX9-2,SOX9,3,0.0023608927990228434,0.0007485295947404694,0.7926028875163288,-0.9586373960754173,1.7512402835917462,0,False,,tumor-gain
SOX9_Hsapiens-jolma2013-SOX9-3,SOX9,7,0.01776273354824435,0.01110556788801115,0.1764172146891824,-0.5741123364221329,0.7505295511113153,0,False,-0.07142857142857144,normal-suppression
SOX9_Hsapiens-jolma2013-SOX9-4,SOX9,5,0.019509445907030916,0.006861576145476931,0.9993275750287536,0.7257899347340201,0.2735376402947335,0,False,0.0,neutral
SOX9_Hsapiens-jolma2013-SOX9-5,SOX9,6,0.12484874484593655,0.12484874484593655,0.0,0.0,0.0,0,True,0.3714285714285715,neutral
SOX9_Hsapiens-jolma2013-SOX9-6,SOX9,3,0.276945275155776,0.19382028431511458,0.7982979666283349,-0.35553665430974357,1.1538346209380785,0,False,,tumor-gain
SOX9_Hsapiens-jolma2013-SOX9-7,SOX9,8,0.2589657415968343,0.24756855060364144,0.8104393148190864,0.3403485389472108,0.4700907758718756,0,False,0.8095238095238096,neutral
SOX_1	SOX_transfac_M01014,SOX1,8,1.0,0.5014970104656137,0.27820788002950736,-0.14186092334979636,0.42006880337930375,0,False,-0.08247860988423227,neutral
SP100_1	Sp100_bulyk_sc09-primary,SP1,3,0.9720261221263587,0.9720261221263587,0.0,0.0,0.0,0,True,,neutral
SP1_Hsapiens-jaspar2016-SP1-MA0079.1,SP1,4,0.25149700598802394,0.25099900000398406,0.5681249946633781,0.17069076278626474,0.39743423187711335,0,False,-0.316227766016838,neutral
SP1_Hsapiens-jaspar2016-SP1-MA0079.3,SP1,3,0.18382500545407146,0.14802292667027758,-0.16089757865631402,-0.7963756994663348,0.6354781208100208,0,False,,normal-suppression
SP1_Hsapiens-jaspar2018-SP1-MA0079.1,SP1,5,0.25099900000398406,0.25099900000398406,0.0,0.0,0.0,0,True,0.20519567041703085,neutral
SP1_Hsapiens-jolma2013-SP1,SP1,3,0.338701361113064,0.338701361113064,0.0,0.0,0.0,0,True,,neutral
SP1_Mmusculus;Rnorvegicus;Hsapiens-jaspar2018-SP1-MA0079.2,SP1,2,0.04989521746171209,0.04989521746171209,0.0,0.0,0.0,0,True,,neutral
SP1_disc1 SP1_H1-hESC_encode-Myers_seq_hsa_r1:MEME#3#Intergenic,SP1,10,0.08609998073496564,0.0038729835939558207,0.17486804551754626,-0.12194186206207198,0.2968099075796182,0,False,-0.29696969696969694,neutral
SP1_disc2 SP1_GM12878_encode-Myers_seq_hsa_r1:Trawler#1#Intergenic,SP1,8,1.0,0.17358188494699409,0.03039601453690653,-0.026319744046974344,0.05671575858388087,0,False,0.523809523809524,neutral
SP1_known1	SP1_1	Sp1_transfac_M00008,SP1,2,0.2509149089672192,0.2151262176396561,-0.15252610733566246,-0.2811573448891739,0.1286312375535114,0,False,,neutral
SP1_known3	SP3_1	Sp3_transfac_M00665,SP1,6,1.0,0.500748127434784,-0.23861507778586982,-0.41392099958601175,0.17530592180014193,0,False,-0.3236694374850748,neutral
SP1_known8	SP1_7	SP1_jolma_DBD_M29,SP1,3,0.8088706307943748,0.8088706307943748,0.0,0.0,0.0,0,True,,neutral
SP1_known9	SP3_2	SP3_jolma_DBD_M30,SP1,5,0.8075159858245494,0.24096304207477812,0.34025653571567754,0.09710451234240201,0.24315202337327552,0,False,-0.7,neutral
SP2_disc1 SP2_K562_encode-Myers_seq_hsa_v041610.2-SC-643_r1:MEME#2#Intergenic,SP2,10,1.0,0.5009586845314333,-0.36207148468823974,-0.6664621931504922,0.3043907084622524,0,False,0.04242424242424241,neutral
SP2_disc2 SP2_K562_encode-Myers_seq_hsa_v041610.2-SC-643_r1:MEME#3#Intergenic,SP2,9,0.1830213682479198,0.020584645780305853,-0.07353115152105034,-0.8837926995587785,0.8102615480377281,0,False,0.35,normal-suppression
SP2_disc3 SP2_K562_encode-Myers_seq_hsa_v041610.2-SC-643_r1:Trawler#3#Intergenic,SP2,8,0.12609238451935081,0.12609238451935081,0.0,0.0,0.0,0,True,0.1697250257391052,neutral
SP3_Hsapiens-jaspar2016-SP3-MA0746.1,SP3,5,0.323143000991478,0.18005144893915329,-0.0573557571323584,-0.5687610603991685,0.5114053032668101,0,False,-0.3,normal-suppression
SP3_Hsapiens-jaspar2018-SP3-MA0746.1,SP3,7,0.20373574726279386,0.15217809273598462,-1.018181777023646,-1.5893084934293407,0.5711267164056946,0,False,-0.39285714285714296,divergent
SP3_Hsapiens-jolma2013-SP3,SP3,7,0.17219587858507113,0.1188442374368772,-0.07355818016558315,-0.7029138730899107,0.6293556929243276,0,False,-0.5,normal-suppression
