tf,sensor_log2_selectivity,tf_mrna_log10_ratio
NR3C1,0.19838,-0.11267
BHLHE40,0.19833,0.12349
TCF7,0.19821,0.17771
MEIS1,0.1982,-0.46847
ESRRG,0.19815,1.19866
SMAD3,0.19811,-0.38086
RUNX1,0.19811,-0.06798
LHX6,0.1981,1.97772
EPAS1,0.19807,-0.67374
MNT,0.19801,0.05603
HMX1,0.19801,1.5563
AR,0.19799,0.74347
MAFB,0.19799,0.64383
SP2,0.19794,-0.07606
RORA,0.19787,1.26779
PAX2,0.19786,1.0569
NR2F1,0.19782,-0.40683
HOXA13,0.19762,1.58967
HIF1A,0.19761,-0.1013
MEIS3,0.19761,0.68303
TGIF1,0.19753,0.24022
GATA4,0.19751,-1.3276
MYBL1,0.19748,0.21759
AR,0.19741,0.74347
REST,0.19734,0.20711
JUN,0.19729,0.26082
TCF12,0.19726,-0.03309
MAFK,0.19725,-0.18717
RBPJ,0.19702,0.06557
TCF3,0.19697,-0.11833
CREB3L1,0.19696,-0.29251
ZKSCAN1,0.19694,0.25502
TBX3,0.19689,-0.64016
CTCF,0.19685,0.1109
JUND,0.19683,-0.03685
RPL6,0.19681,0.06944
HNF4G,0.1968,0.89252
HINFP,0.19675,0.09309
TFAP4,0.19674,0.30334
JUND,0.1967,-0.03685
DLX2,0.19661,0.70947
TRIM28,0.19655,-0.01728
SREBF1,0.19602,-0.15578
AR,0.19559,0.74347
FOXJ3,0.19557,0.24609
LHX6,0.19555,1.97772
NR2F1,0.19554,-0.40683
ZBTB3,0.19553,0.39844
MLX,0.19553,0.04225
SOX9,0.19534,0.21723
ELK1,0.19519,-0.14318
TFEB,0.19516,-0.41856
RXRB,0.19515,0.14875
PAX3,0.19508,1.45939
NR1D1,0.19492,0.0778
JUNB,0.19479,0.12824
MSX2,0.19474,1.37658
NFIB,0.19473,-0.34392
RXRB,0.19471,0.14875
RUNX3,0.19465,1.32536
RARA,0.19454,-0.25519
NFIC,0.1944,-0.21458
NFE2,0.19426,0.59563
ELK1,0.19422,-0.14318
NR3C2,0.19416,0.66608
TFE3,0.19413,-0.02572
GATA2,0.19412,-0.05162
TCF3,0.19412,-0.11833
MAFA,0.19411,1.66573
ARFGAP1,0.19397,0.0425
RXRA,0.19396,0.30198
JDP2,0.19395,0.49816
KLF8,0.19393,1.24055
TGIF1,0.19384,0.24022
NFIA,0.19372,0.15147
GATA3,0.19349,0.63765
SNAPC5,0.19347,-0.15661
SOX17,0.19343,-2.18298
CREB3L1,0.1934,-0.29251
NFYB,0.19339,-0.01498
ESRRB,0.19334,1.09807
USF1,0.19333,-0.13268
PBX1,0.19331,-0.73611
ZBTB3,0.19305,0.39844
TCF3,0.19296,-0.11833
RXRA,0.19295,0.30198
HOXD3,0.19275,-0.7231
USF1,0.19269,-0.13268
BARHL2,0.19264,1.83251
TCF3,0.19256,-0.11833
JUN,0.19253,0.26082
DDX20,0.19249,0.2126
DLX1,0.19241,0.10983
GMEB1,0.19229,-0.0629
MAFG,0.19225,-0.03675
ELK4,0.19224,0.1604
SOX6,0.1922,0.35826
GATA2,0.1919,-0.05162
GLI3,0.19169,-0.16955
TBX1,0.19164,1.76691
VAX1,0.1915,1.0607
CTCF,0.19142,0.1109
CREB3L1,0.19134,-0.29251
MAFB,0.19126,0.64383
ETV2,0.19124,-0.21244
THRB,0.19124,0.86606
HOXA1,0.1912,0.09858
CBFB,0.19087,0.09939
NFATC1,0.19081,1.17367
TEAD1,0.19066,0.23157
TGIF1,0.19041,0.24022
GRHL1,0.19036,0.60779
NR3C1,0.19033,-0.11267
MLXIPL,0.19033,1.28556
FOXO1,0.19023,0.19161
ZNF410,0.19018,-0.14934
NFKB1,0.19017,-0.02496
CTCF,0.19016,0.1109
RFX5,0.19016,0.24121
TGIF1,0.18998,0.24022
RFX5,0.18991,0.24121
POU2F1,0.18983,0.47712
RORA,0.18982,1.26779
SREBF2,0.18976,0.00057
NFYA,0.18976,-0.02481
THAP1,0.18969,0.30516
ATF3,0.18964,0.74563
PPARG,0.18964,-0.0062
RFX2,0.18933,0.09243
JUN,0.18927,0.26082
VAX2,0.18925,-0.14018
GATA3,0.1892,0.63765
ZBED1,0.18904,-0.20248
MXD4,0.18901,-0.10175
NR3C1,0.18898,-0.11267
VDR,0.18896,0.18204
ESRRA,0.18894,0.36686
NR2F1,0.18889,-0.40683
RFX3,0.18886,0.21238
SIN3A,0.18886,0.04933
HMGA2,0.18867,-0.18061
POU2F2,0.18851,-0.79029
CREB3L1,0.18831,-0.29251
CEBPB,0.18829,0.1585
MGA,0.18827,0.06935
HOXD3,0.18823,-0.7231
RBPJ,0.18796,0.06557
RUNX2,0.18787,-0.44748
JUND,0.18778,-0.03685
MYBL2,0.18775,-0.19707
SFT2D1,0.18768,0.08654
HAND1,0.18767,0.94118
CEBPZ,0.18754,0.03188
TEF,0.18747,-0.46806
ARNT,0.18738,0.03492
SREBF1,0.18734,-0.15578
ZEB1,0.18732,-0.14882
NFE2L2,0.18716,0.01426
MAFK,0.18716,-0.18717
SIN3A,0.18714,0.04933
LHX9,0.18711,-1.03088
SP4,0.18707,0.31458
NFIA,0.18684,0.15147
TEF,0.18665,-0.46806
TFEB,0.18628,-0.41856
NFE2,0.1862,0.59563
HNF4G,0.18618,0.89252
ZNF652,0.18617,0.37539
HMX1,0.18612,1.5563
MEIS3,0.18609,0.68303
LHX2,0.18606,1.74567
ARNT,0.18597,0.03492
TFE3,0.18586,-0.02572
NFKB1,0.18577,-0.02496
MSC,0.18576,0.03375
PDX1,0.18574,1.13033
RBM17,0.18564,0.22348
NFIB,0.1855,-0.34392
NKX3-1,0.18535,-0.17361
NR3C1,0.18522,-0.11267
POU3F2,0.18519,1.7839
MEF2A,0.18517,-0.11613
FLI1,0.18512,-2.13898
NFATC1,0.18509,1.17367
PURG,0.18507,0.64052
CEBPG,0.18492,0.22789
SOX8,0.18487,0.98528
FOXO4,0.18481,0.05375
ETS1,0.18479,0.2381
ZBTB7A,0.18476,-0.03833
RFX2,0.18476,0.09243
ESRRA,0.18471,0.36686
OLIG2,0.18455,0.79877
SRP9,0.18454,0.0278
TEAD2,0.18427,-0.33669
FOXO1,0.18424,0.19161
MYBL2,0.18424,-0.19707
NKX2-5,0.1842,1.55041
REL,0.18419,0.12775
ESX1,0.18419,1.18752
ZNF75A,0.18411,0.45123
POU5F1,0.18405,-0.17881
POU2F1,0.18396,0.47712
FOXO6,0.18395,1.52196
ZNF784,0.18392,-0.1146
HIF1A,0.18386,-0.1013
FOXM1,0.18384,-0.09234
BCL6,0.18382,-0.46691
JUND,0.18371,-0.03685
E2F4,0.18368,0.14148
GLI2,0.18366,0.00519
JUN,0.18366,0.26082
HIF1A,0.18356,-0.1013
NR2F6,0.18355,-0.07863
YY1,0.18343,0.14859
MAF,0.18329,1.50435
NFE2L1,0.18315,-0.03223
ELK1,0.18314,-0.14318
TRIM69,0.18311,-0.14646
NKX3-2,0.1831,1.28354
CEBPB,0.18303,0.1585
TCF3,0.183,-0.11833
BHLHE40,0.18298,0.12349
MAX,0.1829,0.13856
HMBOX1,0.18288,0.39571
MEOX1,0.18287,0.5983
RXRA,0.18283,0.30198
EPAS1,0.18279,-0.67374
SNAI2,0.1826,-0.12542
KLF4,0.1826,1.14393
RFX1,0.18254,0.20032
TBX1,0.18251,1.76691
TRIM21,0.1825,-0.18352
MESP1,0.18236,0.43381
NFKB1,0.18219,-0.02496
EGR1,0.18211,0.22639
GFI1,0.18205,0.95373
NFIX,0.18203,-0.37506
TCF7,0.182,0.17771
HOXC11,0.18199,0.58072
THRA,0.18199,-0.23344
NFIB,0.18188,-0.34392
CENPB,0.18185,-0.10852
MXI1,0.1818,0.36623
NR2C2,0.18174,0.21475
FOXB1,0.18172,1.39094
ZNF143,0.18159,-0.08045
MEIS1,0.18157,-0.46847
ETV4,0.18154,0.15297
VDR,0.18149,0.18204
STAT5B,0.18146,-0.28536
ATF7,0.18135,0.14396
ZNF333,0.18135,-0.13501
GBX2,0.18134,1.92073
AR,0.18124,0.74347
HDX,0.18111,0.08585
MEOX1,0.1811,0.5983
KLF3,0.18102,0.08462
TCF7L2,0.18097,0.09821
NKX3-1,0.18089,-0.17361
REL,0.18077,0.12775
ETV6,0.1807,-0.12382
MYC,0.18052,0.22497
SEMA4A,0.18048,0.2132
FOS,0.1801,0.11477
GFI1,0.18008,0.95373
IRF5,0.18008,0.56234
IRF2,0.17998,-0.18248
NKX6-1,0.17991,1.89061
CTCF,0.17988,0.1109
TBP,0.17983,0.01746
SOX17,0.17969,-2.18298
FOSL1,0.17961,0.12968
HIF1A,0.17956,-0.1013
SNAI2,0.1795,-0.12542
SREBF2,0.17943,0.00057
HOXD11,0.17939,0.14834
ZBED1,0.17934,-0.20248
THRA,0.17928,-0.23344
BHLHE40,0.17925,0.12349
RFX2,0.17904,0.09243
MAZ,0.179,0.03792
NFKB1,0.17896,-0.02496
ERG,0.17888,1.54862
ATF7,0.17888,0.14396
NFKB2,0.17887,0.51364
TP53,0.17886,-0.06103
TBX1,0.17884,1.76691
TP53,0.17881,-0.06103
ELK1,0.17877,-0.14318
XBP1,0.17876,0.09852
MAFK,0.17876,-0.18717
FOS,0.17874,0.11477
FOXO1,0.1787,0.19161
MXI1,0.1787,0.36623
MAFK,0.1787,-0.18717
RARA,0.17868,-0.25519
TFAP2A,0.17867,-0.00481
NRL,0.17863,0.13212
IRF1,0.17862,0.07358
PPARG,0.1786,-0.0062
TGIF1,0.17854,0.24022
FOSL2,0.17851,0.07854
TCF3,0.17851,-0.11833
RXRB,0.17839,0.14875
AHR,0.17831,-0.31593
YY2,0.17823,-0.33904
JUND,0.17817,-0.03685
SP2,0.17815,-0.07606
ZBTB7A,0.17795,-0.03833
E2F4,0.1779,0.14148
RORA,0.1778,1.26779
OTX1,0.17778,0.61502
ESRRA,0.17777,0.36686
IL24,0.17766,0.32932
VDR,0.17765,0.18204
JUN,0.17753,0.26082
HIF1A,0.17752,-0.1013
CUX1,0.17745,-0.02564
CUX1,0.17741,-0.02564
FOXO1,0.17726,0.19161
LEF1,0.17724,0.99309
MITF,0.17716,0.30426
RORA,0.17712,1.26779
FOXD2,0.17698,0.92604
EN1,0.1769,1.50651
GATA3,0.1769,0.63765
TFAP2C,0.17689,0.6037
FOSB,0.17673,0.22429
NR3C1,0.1767,-0.11267
RAB14,0.17659,0.01434
ZNF143,0.17658,-0.08045
RARG,0.17653,-0.50335
MGA,0.17646,0.06935
MAFK,0.17645,-0.18717
ESRRA,0.17641,0.36686
JUN,0.17626,0.26082
ESX1,0.17615,1.18752
CUX1,0.17613,-0.02564
YY1,0.17613,0.14859
GLI2,0.17598,0.00519
TFAP2A,0.17597,-0.00481
GZF1,0.1759,-0.10714
ZNF3,0.17584,0.04979
IRF2,0.17582,-0.18248
NR5A1,0.17582,-1.93768
BACH1,0.17577,-0.08588
HOXB5,0.17577,0.18102
ATF6,0.17576,-0.21495
NFE2L2,0.17566,0.01426
HESX1,0.17559,0.17438
FOSL2,0.17558,0.07854
SOX12,0.17556,0.14955
NFE2,0.17551,0.59563
TRIM69,0.17546,-0.14646
RFX3,0.17541,0.21238
SP4,0.17538,0.31458
EN1,0.17529,1.50651
FOSL1,0.17529,0.12968
GLI2,0.17514,0.00519
MSX1,0.17513,0.83405
TP53,0.1751,-0.06103
NR2F1,0.17503,-0.40683
RFX5,0.17497,0.24121
PKNOX2,0.17483,0.45558
ESRRA,0.17481,0.36686
TFE3,0.17475,-0.02572
PAX8,0.17461,1.96565
ERG,0.17458,1.54862
RUNX1,0.17449,-0.06798
HESX1,0.17439,0.17438
NR1H2,0.17437,-0.17777
ETS1,0.17434,0.2381
NR2F6,0.17428,-0.07863
ZBTB4,0.17414,-0.18334
LHX2,0.1741,1.74567
TBX1,0.17404,1.76691
USF1,0.17393,-0.13268
NFE2,0.17384,0.59563
NR3C2,0.1738,0.66608
HMBOX1,0.17376,0.39571
TFAP2C,0.17364,0.6037
OTX1,0.1736,0.61502
E2F1,0.17356,-0.14567
GLI1,0.17337,-0.49908
FOXO4,0.17331,0.05375
HINFP,0.17327,0.09309
NFE2,0.17317,0.59563
YWHAE,0.17317,0.00704
JUN,0.17293,0.26082
MAFK,0.17291,-0.18717
AR,0.1728,0.74347
MAFA,0.1728,1.66573
SOX1,0.17268,1.77815
HIVEP1,0.17267,0.17371
NFKB1,0.17263,-0.02496
ZKSCAN3,0.1726,0.45019
UBE2V1,0.17259,-0.08291
RFX5,0.1725,0.24121
BHLHE41,0.17244,-0.53218
HIF1A,0.17238,-0.1013
ETV4,0.1723,0.15297
TFAP2A,0.17226,-0.00481
CREB3L1,0.17223,-0.29251
BHLHE41,0.17219,-0.53218
MYC,0.17219,0.22497
HOXB2,0.17218,-0.59651
SOX9,0.17215,0.21723
PBX2,0.17214,0.47253
RXRA,0.17207,0.30198
NKX3-1,0.1719,-0.17361
ZDHHC5,0.17184,0.08629
FOXO1,0.17183,0.19161
REL,0.17182,0.12775
NR2F1,0.17173,-0.40683
EPAS1,0.17169,-0.67374
CEBPA,0.17169,1.86054
GLI1,0.17164,-0.49908
ZBTB7A,0.17163,-0.03833
ZNF628,0.17154,-0.14656
TFAP2C,0.17153,0.6037
FOXB1,0.17152,1.39094
RFX3,0.17147,0.21238
SOX2,0.17147,1.37658
TFAP2C,0.17133,0.6037
EN2,0.1713,1.5098
POU2F2,0.17129,-0.79029
PAX8,0.17112,1.96565
PTCD1,0.17104,0.04232
TGIF2,0.17098,0.13496
NR2F2,0.17096,-0.04126
RFX3,0.17095,0.21238
TEF,0.17094,-0.46806
MAFF,0.17088,0.15237
HOXA2,0.17084,-0.49643
ATF6,0.17083,-0.21495
XBP1,0.17079,0.09852
PDX1,0.17075,1.13033
ATF3,0.17071,0.74563
NR3C1,0.17066,-0.11267
RFX1,0.17065,0.20032
POU2F2,0.17038,-0.79029
RBBP5,0.17032,0.03327
STAT1,0.17031,-0.01743
ZBED1,0.1703,-0.20248
DLX4,0.17022,1.70529
MNT,0.17007,0.05603
PAX6,0.17004,0.87769
MAFK,0.17001,-0.18717
SOX2,0.16997,1.37658
MEIS3,0.16991,0.68303
MAX,0.16981,0.13856
MAFG,0.16968,-0.03675
HOXD8,0.16961,-0.50292
ATF6,0.16957,-0.21495
ZNF524,0.16956,-0.36672
REL,0.16948,0.12775
TBX1,0.16933,1.76691
NR2F6,0.16932,-0.07863
RFX2,0.16924,0.09243
TBX2,0.16922,0.74219
NR2F1,0.16896,-0.40683
IRF1,0.16891,0.07358
ISL2,0.16875,1.25248
HIC2,0.1687,0.48876
ETV1,0.16866,0.0445
NR1H2,0.16865,-0.17777
TBX1,0.16862,1.76691
NFIC,0.1686,-0.21458
THRA,0.1685,-0.23344
POU5F1,0.16844,-0.17881
MAF,0.16832,1.50435
ATF4,0.1683,0.11374
JUN,0.16824,0.26082
MESP1,0.1682,0.43381
HIF1A,0.16806,-0.1013
ARNT,0.16805,0.03492
TCF7,0.16803,0.17771
HOXC10,0.16778,0.94574
E2F8,0.16777,0.20928
SOX7,0.16775,0.94009
TEAD4,0.16751,0.33182
RXRA,0.16737,0.30198
NFIB,0.16737,-0.34392
LHX9,0.16732,-1.03088
CUX1,0.16731,-0.02564
CEBPG,0.16717,0.22789
FOS,0.16708,0.11477
MYC,0.16705,0.22497
VAX2,0.16691,-0.14018
FOS,0.16688,0.11477
MAFK,0.16687,-0.18717
FOS,0.16681,0.11477
HIC1,0.16676,-0.93177
NR3C1,0.16676,-0.11267
RORA,0.16667,1.26779
NR4A1,0.16647,0.49659
EMX2,0.16641,1.14301
NFATC2,0.16633,0.12494
SOX8,0.1663,0.98528
SREBF2,0.16623,0.00057
CEBPZ,0.16615,0.03188
CTCF,0.16603,0.1109
ZKSCAN3,0.16583,0.45019
MAFK,0.16571,-0.18717
EZH2,0.1657,0.24374
ELK1,0.1656,-0.14318
ARNT,0.1656,0.03492
NKX2-8,0.1656,1.30963
HEY2,0.16558,1.09575
E2F1,0.1655,-0.14567
E2F4,0.16544,0.14148
HOXB2,0.16533,-0.59651
PRRX1,0.16532,-0.44294
ARNT,0.16527,0.03492
CREB3L1,0.1652,-0.29251
SOX2,0.16507,1.37658
STAT3,0.16507,-0.16234
TBX1,0.16504,1.76691
TGIF2,0.16492,0.13496
ZNF524,0.16491,-0.36672
RARA,0.16478,-0.25519
POU2F2,0.16476,-0.79029
RARG,0.16474,-0.50335
USF2,0.16463,-0.17263
SIN3A,0.16459,0.04933
CYB5R1,0.16459,-0.02612
ATF3,0.16457,0.74563
TBX1,0.16444,1.76691
PITX2,0.16441,1.94874
TBX20,0.16438,1.45484
NFIL3,0.16425,0.04188
GZF1,0.16421,-0.10714
THRA,0.16416,-0.23344
TEAD1,0.16399,0.23157
PAX6,0.16396,0.87769
THRB,0.16392,0.86606
CREB3L1,0.16391,-0.29251
E2F3,0.16388,0.35972
REST,0.16382,0.20711
ZBTB4,0.16371,-0.18334
THRB,0.16363,0.86606
HMBOX1,0.16362,0.39571
TCF3,0.16358,-0.11833
POU5F1,0.16344,-0.17881
NFIA,0.16337,0.15147
SREBF1,0.1633,-0.15578
TGIF2,0.16328,0.13496
ERG,0.16312,1.54862
NR3C1,0.16308,-0.11267
MAFF,0.16298,0.15237
MXI1,0.16293,0.36623
TCF3,0.16289,-0.11833
EMX2,0.16277,1.14301
ETV1,0.16277,0.0445
HIC2,0.16265,0.48876
RCOR1,0.16262,0.29047
OTX1,0.16259,0.61502
EN1,0.16242,1.50651
PAX9,0.1624,1.51678
ETV5,0.16212,0.00428
RXRA,0.1621,0.30198
HNRNPLL,0.16207,-0.15873
ZEB1,0.16194,-0.14882
GATA3,0.16188,0.63765
ZNF524,0.16186,-0.36672
HOXA6,0.16182,0.86378
TCF3,0.16181,-0.11833
NKX2-8,0.16181,1.30963
FOXP3,0.16181,0.80403
SMAD2,0.16177,-0.33837
BHLHA15,0.16167,1.12494
MYBL1,0.16167,0.21759
CREB3L1,0.16164,-0.29251
IRF4,0.16161,-0.17271
NKX6-1,0.16157,1.89061
ZIC2,0.16153,2.51825
TBX20,0.16135,1.45484
NFE2L1,0.1613,-0.03223
FOXA1,0.16128,0.59218
ZNF589,0.1611,0.55279
PBX1,0.16108,-0.73611
SOX17,0.16108,-2.18298
MSC,0.16107,0.03375
CUX1,0.16101,-0.02564
GLIS3,0.16101,-0.88015
ETS1,0.161,0.2381
RXRA,0.16099,0.30198
CBFB,0.16096,0.09939
FOS,0.16089,0.11477
HLF,0.16079,1.20049
ZNF3,0.16074,0.04979
TCF21,0.1607,-0.07196
FOXM1,0.16061,-0.09234
NFKB1,0.1606,-0.02496
HSF2,0.16048,0.0708
NFATC2,0.16046,0.12494
ATF4,0.16045,0.11374
SIX3,0.16041,1.18469
SMAD3,0.16023,-0.38086
STAT5A,0.16022,-0.10044
TFAP4,0.16022,0.30334
NFE2L1,0.1602,-0.03223
FOSB,0.16015,0.22429
ZNF143,0.16002,-0.08045
NFKB1,0.16,-0.02496
POU5F1,0.16,-0.17881
STAT3,0.15988,-0.16234
GATA3,0.15987,0.63765
CHD2,0.15984,0.16413
FOS,0.15981,0.11477
PITX1,0.15968,2.66087
FOXD3,0.15955,1.66375
RXRA,0.15948,0.30198
MEIS3,0.1594,0.68303
YBX1,0.15929,0.03072
RXRA,0.15892,0.30198
CEBPZ,0.1589,0.03188
ALX1,0.15867,0.03003
MXI1,0.15863,0.36623
HOMEZ,0.15856,0.41613
POU2F2,0.15854,-0.79029
MYBL2,0.1585,-0.19707
DBP,0.15825,-0.07406
SOX2,0.15815,1.37658
POU3F2,0.15812,1.7839
HOXB2,0.15809,-0.59651
CTCF,0.15801,0.1109
BCL6,0.15793,-0.46691
MEIS2,0.15788,-0.06534
SOX8,0.15786,0.98528
PPARA,0.15781,0.48827
HERPUD1,0.15776,0.11175
JUNB,0.15773,0.12824
SFT2D1,0.15769,0.08654
PDX1,0.15769,1.13033
EN2,0.15768,1.5098
IRF4,0.15755,-0.17271
GZF1,0.15755,-0.10714
MESP1,0.15753,0.43381
STAT1,0.15751,-0.01743
NKX2-1,0.15748,2.41647
MEOX1,0.15739,0.5983
SPAG7,0.15735,-0.25837
FOXP3,0.15701,0.80403
MAX,0.15695,0.13856
ETV1,0.15695,0.0445
TEAD1,0.15691,0.23157
ID4,0.15688,-0.49292
ETS2,0.15687,0.26666
JDP2,0.15686,0.49816
HOXA13,0.15648,1.58967
NR5A1,0.15635,-1.93768
RFX3,0.15634,0.21238
ETV4,0.15617,0.15297
NFE2L2,0.15616,0.01426
GATA2,0.15607,-0.05162
SREBF2,0.15606,0.00057
SOX4,0.15605,-0.13172
ZIC2,0.15599,2.51825
CEBPB,0.15593,0.1585
SREBF2,0.15587,0.00057
IRF7,0.15571,-0.16734
MAF,0.15571,1.50435
FOSB,0.15562,0.22429
MAFA,0.15531,1.66573
FOXP2,0.15527,0.88336
CUX1,0.15524,-0.02564
HOXA9,0.15523,0.67702
USF1,0.15521,-0.13268
POU5F1,0.15514,-0.17881
MEF2C,0.1551,0.40985
MAFK,0.15504,-0.18717
MAFK,0.15463,-0.18717
RXRA,0.15456,0.30198
SIX5,0.1545,-0.04506
THRB,0.15425,0.86606
SMAD3,0.15424,-0.38086
HSF1,0.15402,0.46176
ELF1,0.15392,-0.0385
VAX1,0.1539,1.0607
POU2F2,0.15387,-0.79029
RORA,0.15385,1.26779
MGA,0.15385,0.06935
DMBX1,0.15381,1.4014
TFCP2,0.1538,-0.18064
GBX2,0.15378,1.92073
RFX5,0.15376,0.24121
RFX2,0.15363,0.09243
FOSL1,0.15359,0.12968
ESRRA,0.15344,0.36686
GTF2I,0.15343,-0.05514
TCF3,0.1534,-0.11833
IRF4,0.15339,-0.17271
ARID5B,0.1533,-0.5962
XBP1,0.15327,0.09852
TFAP4,0.15323,0.30334
BHLHE41,0.15323,-0.53218
ELF4,0.15323,-0.23961
NFIL3,0.15318,0.04188
TEAD1,0.15315,0.23157
FOXO4,0.15311,0.05375
TBP,0.15309,0.01746
VAX1,0.153,1.0607
MAX,0.15297,0.13856
HINFP,0.15293,0.09309
NFIB,0.1529,-0.34392
NR4A2,0.15276,0.11007
MAF,0.15272,1.50435
LHX6,0.15261,1.97772
JUN,0.15261,0.26082
ZNF589,0.1526,0.55279
MTA3,0.15248,0.13685
EN1,0.15237,1.50651
ETV2,0.15227,-0.21244
NR3C1,0.15225,-0.11267
XBP1,0.1521,0.09852
ELK1,0.15208,-0.14318
PPARA,0.15207,0.48827
AR,0.15198,0.74347
RARG,0.15194,-0.50335
CREB3L1,0.15193,-0.29251
ATF7,0.15184,0.14396
BACH1,0.15183,-0.08588
ZNF784,0.15176,-0.1146
POU6F1,0.15166,-0.06658
RARG,0.15166,-0.50335
STAT2,0.1515,0.19114
NFATC1,0.15144,1.17367
PDLIM5,0.15137,-0.44383
RARA,0.15134,-0.25519
TCF12,0.15126,-0.03309
TBX20,0.15112,1.45484
TFAP4,0.15108,0.30334
E4F1,0.15087,0.19447
HIC1,0.15075,-0.93177
HOXA7,0.15069,-1.08007
HINFP,0.15056,0.09309
ZBTB6,0.15053,0.06759
SOX8,0.15047,0.98528
HAND1,0.15023,0.94118
TBX20,0.15018,1.45484
ELK1,0.14999,-0.14318
ETS1,0.14994,0.2381
NR3C1,0.14993,-0.11267
TEAD4,0.14986,0.33182
RARG,0.14972,-0.50335
ATF2,0.14962,0.19734
JDP2,0.14949,0.49816
HOXC13,0.14934,0.9857
RARA,0.14929,-0.25519
MEIS1,0.14918,-0.46847
CUX1,0.14909,-0.02564
NR1H2,0.14909,-0.17777
LARP4,0.14904,0.199
NR2C2,0.149,0.21475
POU3F2,0.14889,1.7839
PPARG,0.14883,-0.0062
VPS4B,0.14878,-0.33691
ELK1,0.1487,-0.14318
FOSL2,0.14866,0.07854
SOX8,0.1484,0.98528
POU2F2,0.14839,-0.79029
SOX17,0.14837,-2.18298
DMRT2,0.14831,-0.75849
GTF2I,0.14828,-0.05514
FOXO3,0.14816,-0.09404
ZKSCAN3,0.14814,0.45019
TFAP4,0.14808,0.30334
E2F1,0.14806,-0.14567
ATF3,0.1479,0.74563
SOX9,0.14784,0.21723
TWIST1,0.14772,-0.19509
UBE2V1,0.14772,-0.08291
XBP1,0.14769,0.09852
ETS1,0.14765,0.2381
STAT3,0.14759,-0.16234
FOXP4,0.14749,-0.2733
HOXC13,0.14747,0.9857
VDR,0.14747,0.18204
CBFB,0.14733,0.09939
NFIA,0.14705,0.15147
BHLHE41,0.14704,-0.53218
SREBF2,0.14702,0.00057
HOXD3,0.14699,-0.7231
CEBPB,0.14695,0.1585
RXRA,0.14688,0.30198
GATA3,0.14668,0.63765
TCF7,0.14665,0.17771
MEOX1,0.14662,0.5983
USF1,0.14655,-0.13268
TBX1,0.14651,1.76691
RUNX2,0.14636,-0.44748
NR2F2,0.14629,-0.04126
RUNX3,0.14626,1.32536
TFAP2A,0.14625,-0.00481
TEAD4,0.14625,0.33182
ATF7,0.14614,0.14396
ARID3A,0.14613,0.49887
RFX1,0.1461,0.20032
TFE3,0.14598,-0.02572
FOSL2,0.1459,0.07854
NR5A1,0.14589,-1.93768
ZBTB3,0.14588,0.39844
TCF3,0.14575,-0.11833
HOXB9,0.14571,0.83234
NR2F1,0.1457,-0.40683
HOXA2,0.1456,-0.49643
STAT3,0.14554,-0.16234
PKNOX1,0.14546,-0.01682
MEF2A,0.14546,-0.11613
BARHL2,0.14533,1.83251
HOXC8,0.14525,0.02345
RORA,0.14522,1.26779
PDX1,0.14516,1.13033
EGR1,0.145,0.22639
MTF1,0.14496,0.11672
FOXO4,0.14484,0.05375
RXRA,0.14476,0.30198
ELF1,0.14476,-0.0385
GFI1,0.14467,0.95373
HOXC10,0.1446,0.94574
YBX1,0.14455,0.03072
LHX2,0.14445,1.74567
HOXA3,0.14442,-0.49974
FOSB,0.14431,0.22429
NFIC,0.1443,-0.21458
NR3C1,0.14413,-0.11267
LHX9,0.14404,-1.03088
POU2F2,0.14396,-0.79029
BHLHE41,0.14395,-0.53218
E2F1,0.14394,-0.14567
HOXB8,0.1439,0.34207
STAT3,0.14384,-0.16234
RFX2,0.14374,0.09243
ESRRG,0.14373,1.19866
PAX8,0.14367,1.96565
PITX2,0.14363,1.94874
BCL11A,0.1436,1.84042
TGIF2,0.14357,0.13496
HMX1,0.14343,1.5563
JDP2,0.14343,0.49816
SP3,0.14337,0.05187
PRDM4,0.14329,0.23073
CTCF,0.14326,0.1109
RXRA,0.14319,0.30198
IRF8,0.14304,0.31482
CTCF,0.14287,0.1109
NR6A1,0.14272,0.87404
FOXA1,0.14259,0.59218
FOSL1,0.14251,0.12968
ZNF3,0.14244,0.04979
NFKB1,0.14242,-0.02496
RAD21,0.14234,0.33699
RARG,0.14233,-0.50335
HIC1,0.14233,-0.93177
PBX2,0.14231,0.47253
NKX3-1,0.14212,-0.17361
JUND,0.14208,-0.03685
SNAI2,0.14203,-0.12542
LARP1,0.14201,0.39547
AR,0.14191,0.74347
TEF,0.14191,-0.46806
ZBTB7A,0.14189,-0.03833
MYBL2,0.14185,-0.19707
USF1,0.14173,-0.13268
CEBPZ,0.14172,0.03188
FOXD3,0.14167,1.66375
HNRNPC,0.14164,0.08309
TCF4,0.1415,-0.83621
ETS1,0.14142,0.2381
ZNF143,0.14141,-0.08045
RXRA,0.14128,0.30198
SRF,0.14127,-0.18877
TFE3,0.141,-0.02572
NFIX,0.14094,-0.37506
FOXO3,0.14087,-0.09404
TCF7,0.14076,0.17771
MNT,0.14076,0.05603
NKX2-8,0.14073,1.30963
TFAP2A,0.14068,-0.00481
REL,0.14067,0.12775
SEMA4A,0.14062,0.2132
HINFP,0.14057,0.09309
NFIB,0.14052,-0.34392
HOXC9,0.14048,-0.05244
